EDITION,QUESTION
Midva,"Katera je tvoja najljubša izkušnja, ki sva jo skupaj doživela?"
Midva,"Kaj je nekaj slabega in nekaj dobrega, kar si o meni odkril/a šele kasneje v najinem odnosu?"
Midva,"Kaj je nekaj kar se je spremenilo na pozitivno, ko se je razvijal najin odnos?"
Midva,"Kako si vedel/a, da si se zaljubil/a vame?"
Midva,Kdaj in kje sva si prvič izpovedala ljubezen?
Midva,S čim te najbolj prizadanem?
Midva,"Česa si želiš, da bi počela več?"
Midva,"Koliko bi rekel/a, da me poznaš od 1-10?"
Midva,Katere moje geste ti največ pomenijo?
Midva,Katera moja pohvala ti največ pomeni?
Midva,Kako pogosto želiš slišati pohvalo ali potrditev?
Midva,"Kaj me lahko naučiš, da bom boljši partner zate?"
Midva,Kdaj me vidiš kot tvojo največjo oporo?
Midva,"Če bi lahko uvedla eno novo rutino, ki bi naju povezala, katera bi bila?"
Midva,"Kaj lahko vsak od naju naredi, da se v intimnosti počutiva bolj sproščeno?"
Midva,Katera najina rutina ti je najbolj pri srcu?
Midva,Kako vidiš najin odnos v 5ih letih?
Midva,"Se ti zdi, da ti dovolj izkazujem ljubezen?"
Midva,"Če bi bila najin odnos film, kateri žanr bi bil?"
Midva,"Ali obstaja par po katerem bi se zgledovala? Če ja, kaj počneta onadva kar lahko počneva tudi midva?"
Midva,"Kaj je zate ljubezenski jezik, ki ga najbolj začutiš?"
Midva,"Kaj je najbolj čudaška navada, ki jo imam, pa te vseeno na nek bizaren način privlači?"
Midva,Katera hrana te vedno spravi v dobro voljo?
Midva,"Kaj bi počela skupaj, če bi imela danes neomejen budget?"
Midva,Kaj sva midva kot par — jutranji kaos ali večerni zen?
Midva,Kateri je tvoj najljubši vzdevek zame?
Midva,Katera pesem te spomni name?
Midva,"Če bi morala skupaj preživeti mesec dni na samotnem otoku, kaj bi bila tvoja glavna naloga in kaj moja?"
Midva,"Kaj je tista ena majhna stvar, ki jo naredim vsak dan, pa se zaradi nje počutiš ljubljeno?"
Midva,"Kam bi se odselila, če bi nama nekdo rekel, da lahko od jutri živiva kjerkoli na svetu?"
Midva,Katero veščino bi se rad/a naučila skupaj z mano?
Midva,"Kaj je zate definicija popolnega dneva, ki ga preživiva skupaj?"
Midva,"Kdaj si v najini zvezi začutil/a, da je to ""to""?"
Midva,Katera tvoja lastnost se je ob meni najbolj spremenila ali razvila?
Midva,"Če bi lahko spremenila eno stvar na najini poti do zdaj, bi sploh kaj spremenila?"
Midva,"Kaj je tisto, česar o tebi ne ve nihče drug, razen mene?"
Midva,"Kaj je zate ""neodpustljivo"" dejanje, ki bi popolnoma zlomilo tvoje zaupanje?"
Midva,"Če bi naju ljudje opazovali od daleč, katero vrednoto bi rekli, da najbolj zastopava?"
Midva,"Kaj je tisto, kar tvojemu življenju daje največji smisel, in kje v tem mozaiku sem jaz?"
Midva,"Kateri tvoj kos oblačila bi najraje ""ponesreči"" izgubil/a v pranju?"
Midva,"Kateri ""zmenek doma"" ti je ljubši od drage večerje zunaj?"
Midva,"Kateri trenutek v tednu je zate ""najin trenutek"", ki se ga najbolj veseliš?"
Midva,"Kako veš, da sem slabe volje, še preden odprem usta?"
Midva,"Če bi mi moral/a kupiti darilo za 5 €, s čim bi me najbolj osrečil/a?"
Midva,"Kateri moj objem ti je najljubši: tisti za dobro jutro, tisti v tolažbo ali tisti ""kar tako""?"
Uspelo nama bo,Kaj ti v najinem odnosu daje občutek varnosti?
Uspelo nama bo,"Se ti zdi, da se ob prepirih bova drug proti drugemu ali skupaj proti problemu?"
Uspelo nama bo,"Kaj je tisto, čemur si se zavestno odpovedal/a, da bi najin odnos deloval, in ali kdaj čutiš obžalovanje zaradi tega?"
Uspelo nama bo,"Katera tvoja ""rana"" iz otroštva se v najinem odnosu najpogosteje oglasi?"
Uspelo nama bo,"Ali obstaja kakšna potreba v tvojem srcu, ki je ne upaš izraziti, ker se bojiš, da bi bila zame preveč?"
Uspelo nama bo,"Kaj je tista stvar, ki je pri meni ne razumeš, pa si se sčasoma preprosto nehal/a truditi, da bi jo?"
Uspelo nama bo,Če bi bila ljubezen odločitev in ne čustvo – zakaj bi se vsako jutro znova odločil/a zame?
Uspelo nama bo,"Kaj je tista stvar, za katero želiš, da si jo ljudje (in jaz) zapomnijo o tebi?"
Uspelo nama bo,"Kako želiš, da se odzovem, ko si pod stresom?"
Uspelo nama bo,"Katere besede od mene najbolj hrepeniš slišati, pa ti jih morda premalokrat povem?"
Uspelo nama bo,"Kaj je najboljši način, da se umiriva, preden nadaljujeva pogovor?"
Uspelo nama bo,Kdaj in kako najlažje začneš resen pogovor z mano?
Uspelo nama bo,"Katero plat sebe želiš, da bi bolje razumel/a?"
Uspelo nama bo,"Kateri del sebe najtežje sprejmeš in kako se počutiš, ko jaz vidim ta del tebe?"
Uspelo nama bo,"Česa se v najinem odnosu najbolj bojiš, pa o tem redko spregovoriš?"
Uspelo nama bo,"Katero temo je za naju najtežje odpreti – in zakaj misliš, da je tako?"
Uspelo nama bo,Kako lahko izboljšam svoj način komuniciranja s tabo?
Uspelo nama bo,Kako lahko izboljšam svoj način poslušanja?
Uspelo nama bo,"Kako želiš, da se odzovem, ko si vidno razburjen_a?"
Obletnica,"Kaj je drugače kot kar si si predstavljal, ko sva začela?"
Obletnica,Katera izkušnja naju je najbolj zbližala?
Obletnica,Kaj je po tvojem mnenju najina največja skupna moč kot par?
Obletnica,"Kako bi opisal/a najin odnos nekomu, ki naju še nikoli ni srečal?"
Obletnica,"Kako misliš, da sva se skozi leta spremenila kot par?"
Obletnica,"Če bi lahko podoživel en dan iz najine zveze, kateri bi bil in zakaj?"
Obletnica,"Kateri film, pesem ali knjiga te vedno spomni name?"
Obletnica,"Kdaj si se prvič zavedal/a, da si želiš z mano preživeti življenje?"
Obletnica,Kateri je tvoj najlepši spomin iz najinih prvih let skupaj?
Obletnica,Kateri skupni cilj še nisva osvojila in je še vedno v najinem načrtu?
Obletnica,Kaj te pri meni najbolj privlači?
Obletnica,Kaj je najina močna točka pri reševanju prepirov?
Obletnica,"Kaj je nekaj, kar te je v preteklosti prizadelo, pa o tem nisva govorila?"
Obletnica,Kako bi se rad/a razvijal/a kot oseba v naslednjih 10 letih in kako te lahko pri tem podpiram?
Obletnica,"Kaj te pri meni še vedno preseneča, čeprav me poznaš že toliko let?"
Obletnica,"Kako veš, da te ljubim, tudi ko ti tega ne povem?"
Obletnica,"Kaj je ena stvar, ki jo lahko izboljšava v najinem odnosu?"
Obletnica,Kako lahko bolje izražam svojo ljubezen do tebe?
Obletnica,"Kaj je ena stvar, ki bi jo rad/a delal/a več skupaj?"
Obletnica,Kako zgleda tvoj najljubši zmenek z mano?
Obletnica,"Kaj je ena skupna želja, ki jo še nisva uresničila?"
Obletnica,"Če bi imela priložnost potovati v preteklost in dati nasvet najinemu mlajšemu jazu, kaj bi mu rekla?"
Obletnica,Katera pesem najbolje opiše najino razmerje?
Obletnica,Kateri je bil najbolj smešen ali neroden trenutek v najini zvezi?
Obletnica,"Če bi lahko izbrisala en težek trenutek, ki sva ga doživela skupaj, bi to storil/a? Zakaj da ali zakaj ne?"
Obletnica,"Kaj je najin inner joke, ki ga drugi ne razumejo?"
Obletnica,Kaj sem te naučil/a o ljubezni v teh letih?
Obletnica,"Kaj je nekaj kar bi si mogla povedat že zdavnaj, pa si nisva, ker sva čutila, da je prepozno, da bi to povedala naglas?"
Obletnica,"Kaj si misliš o tem, kako rešujeva konflikte?"
Obletnica,Kdaj se počutiš najbolj ljubljeno in cenjeno ob meni?
Obletnica,Kaj ti je pri meni fizično najbolj všeč?
Obletnica,Kateri je najin najljubši hobi trenutno in katerega bi mogla začet?
Obletnica,"Če bi morala izbrati eno pustolovščino, ki bi jo skupaj doživela, katero bi izbrala kot najljubšo?"
Obletnica,Kateri je tvoj najljubši vzdevek zame?
Uspelo nama bo,"Kaj lahko naredim, da te pomirim, ko ti je hudo?"
Uspelo nama bo,"Katera ovira je naslednja, ki bi jo morala skupaj premagati?"
Uspelo nama bo,"Kaj lahko naredim jutri, da bo tvoj dan pa četudi samo malenkost boljši?"
Uspelo nama bo,Kaj je najpogostejši razlog za tvoj nasmeh?
Uspelo nama bo,"Kdaj si najbolj srečen/srečna (, ko si ob meni)?"
Uspelo nama bo,"Kako si želiš, da bi ti pokazal/a ljubezen?"
Uspelo nama bo,"Katere moje besede te najbolj zabolijo ali potisnejo v attack/defence mode? Kaj lahko spremenim, da ti bo lažje?"
