EDITION,QUESTION
Couples,"Katera je tvoja najljubša izkušnja, ki sva jo skupaj doživela?"
Couples,"Kaj je nekaj slabega in nekaj dobrega, kar si o meni odkril/a šele kasneje v najinem odnosu?"
Couples,"Kaj je nekaj kar se je spremenilo na pozitivno, ko se je razvijal najin odnos?"
Couples,"Kako si vedel/a, da si se zaljubil/a vame?"
Couples,Kdaj in kje sva si prvič izpovedala ljubezen?
Couples,Kaj te najbolj prizadene v odnosu?
Couples,"Česa si želiš, da bi počela več?"
Couples,"Koliko bi ocenil/a za svojega partnerja, da te pozna od 1-10?"
Couples,Katere moje geste ti največ pomenijo?
Couples,Katera moja pohvala ti največ pomeni?
Couples,Kako pogosto želiš slišati pohvalo ali potrditev?
Couples,"Kaj me lahko naučiš, da bom boljši partner zate?"
Couples,Kdaj me vidiš kot tvojo največjo oporo?
Couples,"Če bi lahko uvedla eno novo rutino, ki bi naju povezala, katera bi bila?"
Couples,"Kaj lahko vsak od naju naredi, da se v intimnosti počutiva bolj sproščeno?"
Couples,Katera najina rutina ti je najbolj pri srcu?
Couples,Kako vidiš najin odnos v 5ih letih?
Couples,"Če bi bila najin odnos film, kateri žanr bi bil?"
Couples,"Ali obstaja par po katerem bi se zgledovala? Če ja, kaj počneta onadva kar lahko počneva tudi midva?"
Couples,"Kaj je zate ljubezenski jezik, ki ga najbolj začutiš?"
Couples,"Kaj je najbolj čudaška navada, ki jo imam, pa te vseeno na nek bizaren način privlači?"
Couples,Katera hrana te vedno spravi v dobro voljo?
Couples,"Kaj bi počela skupaj, če bi imela danes neomejen budget?"
Couples,Kaj sva midva kot par — jutranji kaos ali večerni zen?
Serious Conv,Kaj ti v najinem odnosu daje občutek varnosti?
Serious Conv,"Kako želiš, da se odzovem, ko si pod stresom?"
Serious Conv,"Kaj je najboljši način, da se umiriva, preden nadaljujeva pogovor?"
Serious Conv,Kdaj in kako najlažje začneš resen pogovor z mano?
Serious Conv,"Katero plat sebe želiš, da bi bolje razumel/a?"
Serious Conv,"Katero temo je za naju najtežje odpreti – in zakaj misliš, da je tako?"
Serious Conv,Kako lahko izboljšam svoj način komuniciranja s tabo?
Serious Conv,Kako lahko izboljšam svoj način poslušanja?
Serious Conv,"Kako želiš, da se odzovem, ko si vidno razburjen_a?"
5th/10th Aniversary,"Kaj je drugače kot kar si si predstavljal, ko sva začela?"
5th/10th Aniversary,Katera izkušnja naju je najbolj zbližala?
5th/10th Aniversary,Kaj je po tvojem mnenju najina največja skupna moč kot par?
5th/10th Aniversary,"Kako bi opisal/a najin odnos nekomu, ki naju še nikoli ni srečal?"
5th/10th Aniversary,"Kako misliš, da sva se skozi leta spremenila kot par?"
5th/10th Aniversary,"Če bi lahko podoživel en dan iz najine zveze, kateri bi bil in zakaj?"
5th/10th Aniversary,"Kateri film, pesem ali knjiga te vedno spomni name?"
5th/10th Aniversary,"Kdaj si se prvič zavedal/a, da si želiš z mano preživeti življenje?"
5th/10th Aniversary,Kateri je tvoj najlepši spomin iz najinih prvih let skupaj?
5th/10th Aniversary,Kateri skupni cilj še nisva osvojila in je še vedno v najinem načrtu?
5th/10th Aniversary,Kaj te pri meni najbolj privlači?
5th/10th Aniversary,Kaj je najina močna točka pri reševanju prepirov?
5th/10th Aniversary,"Če bi morala izbrati eno pesem, ki opisuje najin odnos, katera bi bila?"
5th/10th Aniversary,"Kaj je nekaj, kar te je v preteklosti prizadelo, pa o tem nisva govorila?"
5th/10th Aniversary,Kako bi se rad/a razvijal/a kot oseba v naslednjih 10 letih in kako te lahko pri tem podpiram?
5th/10th Aniversary,"Kaj te pri meni še vedno preseneča, čeprav me poznaš že toliko let?"
5th/10th Aniversary,"Kako veš, da te ljubim, tudi ko ti tega ne povem?"
5th/10th Aniversary,"Kaj je ena stvar, ki jo lahko izboljšava v najinem odnosu?"
5th/10th Aniversary,Kako lahko bolje izražam svojo ljubezen do tebe?
5th/10th Aniversary,"Kaj je ena stvar, ki bi jo rad/a delal/a več skupaj?"
5th/10th Aniversary,Kako zgleda tvoj najljubši zmenek z mano?
5th/10th Aniversary,"Kaj je ena skupna želja, ki jo še nisva uresničila?"
5th/10th Aniversary,"Če bi imela priložnost potovati v preteklost in dati nasvet najinemu mlajšemu jazu, kaj bi mu rekla?"
5th/10th Aniversary,Katera pesem najbolje opiše najino razmerje?
5th/10th Aniversary,Kateri je bil najbolj smešen ali neroden trenutek v najini zvezi?
5th/10th Aniversary,"Če bi lahko izbrisala en težek trenutek, ki sva ga doživela skupaj, bi to storil/a? Zakaj da ali zakaj ne?"
5th/10th Aniversary,"Kaj je najin inner joke, ki ga drugi ne razumejo?"
5th/10th Aniversary,Kaj sem te naučil/a o ljubezni v teh letih?
5th/10th Aniversary,"Kaj je nekaj kar bi si mogla povedat že zdavnaj, pa si nisva, ker sva čutila, da je prepozno, da bi to povedala naglas?"
5th/10th Aniversary,"Kaj si misliš o tem, kako rešujeva konflikte?"
5th/10th Aniversary,Kdaj se počutiš najbolj ljubljeno in cenjeno ob meni?
5th/10th Aniversary,Kaj ti je pri meni fizično najbolj všeč?
5th/10th Aniversary,Kateri je najin najljubši hobi trenutno in katerega bi mogla začet?
5th/10th Aniversary,"Če bi morala izbrati eno pustolovščino, ki bi jo skupaj doživela, katero bi izbrala kot najljubšo?"
5th/10th Aniversary,Kateri je tvoj najljubši vzdevek zame?
We can make it,"Kaj lahko naredim, da te pomirim, ko ti je hudo?"
We can make it,"Katera ovira je naslednja, ki bi jo morala skupaj premagati?"
We can make it,"Kaj lahko naredim jutri, da bo tvoj dan pa četudi samo malenkost boljši?"
We can make it,Kaj je najpogostejši razlog za tvoj nasmeh?
We can make it,"Kdaj si najbolj srečen/srečna (, ko si ob meni)?"
We can make it,"Kako si želiš, da bi ti pokazal/a ljubezen?"
We can make it,"Katere moje besede te najbolj zabolijo ali potisnejo v attack/defence mode? Kaj lahko spremenim, da ti bo lažje?"
We can make it,"Kako bi želel, da komunicirava, ko pride do konflikta?"
We can make it,"Se ti zdi, da še vedno gledava v isto smer? Če ne – kam si ti želiš iti?"
We can make it,Kateri skupni cilj sva začela zapostavljati?
We can make it,"Kaj bi morala spremeniti vsak pri sebi, da bi izboljšala najin odnos?"
We can make it,Je kaj v kar dvomiš v najinem odnosu in tega še nisi izrazil/a?
We can make it,Kaj bi si želel/a slišati od mene pa tega nisem izrekel/la?
We can make it,"Kaj bi ti danes pomenilo, da naredim samo zato, da ti olajšam dan?"
We can make it,"Kaj lahko skupaj ustvariva, da bova okrepila najino vez?"
We can make it,Kako lahko skupaj oblikujeva prostor v katerem bova oba čutila priložnost za rast? (my absolute favourite)
