EDITION,QUESTION
Midva,"Katera je tvoja najljubša izkušnja, ki sva jo skupaj doživela?"
Midva Vsak Dan,"Kaj je nekaj slabega in nekaj dobrega, kar si o meni odkril/a šele kasneje v najinem odnosu?"
Midva Vsak Dan,"Kaj je nekaj kar se je spremenilo na pozitivno, ko se je razvijal najin odnos?"
Midva Vsak Dan,"Kako si vedel/a, da si se zaljubil/a vame?"
Midva Vsak Dan,Kdaj in kje sva si prvič izpovedala ljubezen?
Midva Vsak Dan,S čim te najbolj prizadanem?
Midva Vsak Dan,"Česa si želiš, da bi počela več?"
Midva Vsak Dan,"Koliko bi rekel/a, da me poznaš od 1-10?"
Midva Vsak Dan,Katere moje geste ti največ pomenijo?
Midva Vsak Dan,Katera moja pohvala ti največ pomeni?
Midva Vsak Dan,Kako pogosto želiš slišati pohvalo ali potrditev?
Midva Vsak Dan,"Kaj me lahko naučiš, da bom boljši partner zate?"
Midva Vsak Dan,Kdaj me vidiš kot tvojo največjo oporo?
Midva Vsak Dan,"Če bi lahko uvedla eno novo rutino, ki bi naju povezala, katera bi bila?"
Midva Vsak Dan,"Kaj lahko vsak od naju naredi, da se v intimnosti počutiva bolj sproščeno?"
Midva Vsak Dan,Katera najina rutina ti je najbolj pri srcu?
Midva Vsak Dan,Kako vidiš najin odnos v 5ih letih?
Midva Vsak Dan,"Se ti zdi, da ti dovolj izkazujem ljubezen?"
Midva Vsak Dan,"Če bi bila najin odnos film, kateri žanr bi bil?"
Midva Vsak Dan,"Ali obstaja par po katerem bi se zgledovala? Če ja, kaj počneta onadva kar lahko počneva tudi midva?"
Midva Vsak Dan,"Kaj je zate ljubezenski jezik, ki ga najbolj začutiš?"
Midva Vsak Dan,"Kaj je najbolj čudaška navada, ki jo imam, pa te vseeno na nek bizaren način privlači?"
Midva Vsak Dan,Katera hrana te vedno spravi v dobro voljo?
Midva Vsak Dan,"Kaj bi počela skupaj, če bi imela danes neomejen budget?"
Midva Vsak Dan,Kaj sva midva kot par — jutranji kaos ali večerni zen?
Midva Vsak Dan,Kateri je tvoj najljubši vzdevek zame?
Midva Vsak Dan,Katera pesem te spomni name?
Midva Vsak Dan,"Če bi morala skupaj preživeti mesec dni na samotnem otoku, kaj bi bila tvoja glavna naloga in kaj moja?"
Midva Vsak Dan,"Kaj je tista ena majhna stvar, ki jo naredim vsak dan, pa se zaradi nje počutiš ljubljeno?"
Midva Vsak Dan,"Kam bi se odselila, če bi nama nekdo rekel, da lahko od jutri živiva kjerkoli na svetu?"
Midva Vsak Dan,Katero veščino bi se rad/a naučila skupaj z mano?
Midva Vsak Dan,"Kaj je zate definicija popolnega dneva, ki ga preživiva skupaj?"
Midva Vsak Dan,"Kdaj si v najini zvezi začutil/a, da je to ""to""?"
Midva Vsak Dan,Katera tvoja lastnost se je ob meni najbolj spremenila ali razvila?
Midva Vsak Dan,"Če bi lahko spremenila eno stvar na najini poti do zdaj, bi sploh kaj spremenila?"
Midva Vsak Dan,"Kaj je tisto, česar o tebi ne ve nihče drug, razen mene?"
Midva Vsak Dan,"Kaj je zate ""neodpustljivo"" dejanje, ki bi popolnoma zlomilo tvoje zaupanje?"
Midva Vsak Dan,"Če bi naju ljudje opazovali od daleč, katero vrednoto bi rekli, da najbolj zastopava?"
Midva Vsak Dan,"Kaj je tisto, kar tvojemu življenju daje največji smisel, in kje v tem mozaiku sem jaz?"
Midva Vsak Dan,"Kateri tvoj kos oblačila bi najraje ""ponesreči"" izgubil/a v pranju?"
Midva Vsak Dan,"Kateri ""zmenek doma"" ti je ljubši od drage večerje zunaj?"
Midva Vsak Dan,"Kateri trenutek v tednu je zate ""najin trenutek"", ki se ga najbolj veseliš?"
Midva Vsak Dan,"Kako veš, da sem slabe volje, še preden odprem usta?"
Midva Vsak Dan,"Če bi mi moral/a kupiti darilo za 5 €, s čim bi me najbolj osrečil/a?"
